
Begin to print decoded frame status ...
Frame ID: 138; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 139; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 140; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 141; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 142; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 143; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 144; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 145; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 146; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 147; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 148; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 149; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 150; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 151; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 152; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 153; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 154; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 155; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 156; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 157; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 158; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 159; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 160; currentDecodedFrame: 0; DecodedFrame: 1
Frame ID: 161; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 162; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 163; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 164; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 165; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 166; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 167; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 168; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 169; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 170; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 171; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 172; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 173; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 174; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 175; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 176; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 177; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 178; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 179; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 180; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 181; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 182; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 183; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 184; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 185; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 186; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 187; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 188; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 189; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 190; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 191; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 192; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 193; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 194; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 195; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 196; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 197; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 198; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 199; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 200; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 201; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 202; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 203; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 204; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 205; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 206; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 207; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 208; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 209; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 210; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 211; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 212; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 213; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 214; currentDecodedFrame: 0; DecodedFrame: 0
